osmid,y,x
6659134172,21.0104207,105.8250477
6659134174,21.0080557,105.8236974
6659134177,21.0055776,105.8224433
6661055809,21.0210874,105.8259488
6661055810,21.021186,105.8257857
6661055813,21.0210523,105.8261838
6661487944,20.9798301,105.7875626
6661487945,20.9799981,105.7873972
6662241086,21.0105436,105.8159375
6662241087,21.0104471,105.8160708
6662241094,21.0130422,105.8182137
6662241095,21.0131584,105.8180511
6662639319,21.0213742,105.8260818
6666128977,21.0017576,105.7826031
6666479030,21.0294365,105.8273932
6670444529,21.0061894,105.816321
6670444530,21.0062468,105.8164237
6672531385,21.0234711,105.7905797
6677147301,21.0264161,105.8275674
6677147310,21.0265949,105.8278032
6677300866,21.0249599,105.8112969
6677338241,21.0065963,105.8315376
6677364041,21.0253419,105.8115467
6677687639,21.0031442,105.7822662
6677687648,21.0027023,105.7826554
6677895172,21.0034963,105.8205414
6677895176,21.0031473,105.8207341
6684737819,20.9981011,105.7951314
6685236291,21.0199082,105.827027
6685236292,21.0200622,105.8271151
6685434573,21.0098977,105.8156305
6685466405,21.0131286,105.7751725
6685605986,21.019902,105.8008976
6687964478,21.0142237,105.7957481
6688471376,20.999988,105.8319564
6688490814,21.0288101,105.8275002
6688503842,21.0095161,105.8246137
6688503847,21.0096285,105.8244721
6688570392,20.9971152,105.8111655
6688570393,20.9969225,105.8113096
6688570397,20.9986719,105.8139233
6688570401,20.9988321,105.813773
6689057478,20.9958585,105.8092514
6689057482,20.9956473,105.8093901
6689057484,20.9957049,105.8090137
6689058288,20.9955508,105.8092455
7301485388,21.0234152,105.8322243
7920618640,21.0016881,105.8262785
7920618647,21.000714,105.8293059
7920618648,21.00106,105.8291663
7985603136,21.0006733,105.8287012
7985603138,21.0004617,105.8292945
7985603147,21.0014607,105.8271192
7985603148,21.0012111,105.8270346
8231491408,21.0190792,105.8285186
8231491411,21.0192347,105.8286216
8237661942,21.0253173,105.8217474
8242664547,21.0288595,105.8055298
8295729267,20.9895284,105.8044844
8341509535,20.983403,105.815856
8341509537,20.9831264,105.815308
8462966000,20.9777015,105.8114833
8462967636,20.9776129,105.8116924
8598733283,21.0293992,105.8274018
